date,product_id,ranking_type,rank,member_name,volume,change
2025-09-12,IF,持买单量排名,6,华泰期货(代客),624,-300
2025-09-12,IF,持买单量排名,7,银河期货(代客),427,20
2025-09-12,IF,持买单量排名,8,国信期货(代客),344,-287
2025-09-12,IF,持买单量排名,9,长江期货(代客),335,122
2025-09-12,IF,持买单量排名,合计,,16046,-1642
2025-09-12,IF,持卖单量排名,1,中信期货(代客),14653,-818
2025-09-12,IF,持卖单量排名,10,中泰期货(代客),1866,380
2025-09-12,IF,持卖单量排名,11,南华期货(代客),1562,-949
2025-09-12,IF,持卖单量排名,12,一德期货(代客),1462,-582
2025-09-12,IF,持卖单量排名,13,招商期货(代客),1294,163
2025-09-12,IF,持卖单量排名,14,光大期货(代客),1226,214
2025-09-12,IF,持卖单量排名,15,宏源期货(代客),1221,112
2025-09-12,IF,持卖单量排名,16,瑞达期货(代客),1173,-100
2025-09-12,IF,持卖单量排名,17,宝城期货(代客),1151,577
2025-09-12,IF,持卖单量排名,18,国投期货(代客),1019,162
2025-09-12,IF,持卖单量排名,19,东海期货(代客),989,607
2025-09-12,IF,持卖单量排名,2,国泰君安(代客),11270,-1377
2025-09-12,IF,持卖单量排名,20,中信建投(代客),964,-158
2025-09-12,IF,持卖单量排名,3,海通期货(代客),7059,504
2025-09-12,IF,持卖单量排名,4,国信期货(代客),4690,-555
2025-09-12,IF,持卖单量排名,5,东证期货(代客),4489,261
2025-09-12,IF,持卖单量排名,6,华闻期货(代客),3683,-942
2025-09-12,IF,持卖单量排名,7,广发期货(代客),2959,52
2025-09-12,IF,持卖单量排名,8,华泰期货(代客),2309,839
2025-09-12,IF,持卖单量排名,9,银河期货(代客),1970,-340
2025-09-12,IF,持卖单量排名,合计,,67009,-1950
